;d;UCL (95%);Z;Pr > d;taxa
cradle_australia_oceania:cradle_oriental;0.0052552810812295;0.00698078572698636;1.10233047116411;0.15;amphibians
cradle_australia_oceania:cradle_south_america;0.015619912489747;0.00578026412111244;3.57674855464711;0.001;amphibians
cradle_australia_oceania:museum_africa;0.0114297960615415;0.0065060954761302;2.74666907027571;0.003;amphibians
cradle_oriental:cradle_south_america;0.0103646314085175;0.00647359263257257;2.49136758163028;0.002;amphibians
cradle_oriental:museum_africa;0.016685077142771;0.0070133193026731;3.557949310275;0.001;amphibians
cradle_south_america:museum_africa;0.0270497085512885;0.00531600684819626;5.46148223720053;0.001;amphibians
cradle_north_america:cradle_south_america;0.00267517810877438;0.0162604144507739;-0.732548428599548;0.755;birds
cradle_north_america:museum_africa_madagascar;0.0439171288296535;0.0193617700059822;3.34503921922867;0.001;birds
cradle_north_america:museum_australia_oceania_asia;0.0535380915600145;0.0173211542123725;4.19155939763202;0.001;birds
cradle_south_america:museum_africa_madagascar;0.0412419507208791;0.0153775305776404;3.70799932453374;0.001;birds
cradle_south_america:museum_australia_oceania_asia;0.0508629134512401;0.0145612420962238;4.46237965951285;0.001;birds
museum_africa_madagascar:museum_australia_oceania_asia;0.009620962730361;0.0166022742012187;0.695774135758269;0.257;birds
cradle_north_america:cradle_south_america1;0.0279175135245797;0.0245065739712824;1.76948243199184;0.027;mammals
cradle_north_america:museum_africa;0.00283973667653109;0.0256341617200545;-0.968937732309357;0.827;mammals
cradle_north_america:museum_north_america;0.0283149801689795;0.0305138397613439;1.43523422809302;0.072;mammals
cradle_south_america:museum_africa1;0.0307572502011108;0.0194611774828212;2.54147379715049;0.004;mammals
cradle_south_america:museum_north_america;0.0562324936935593;0.0269916111815457;2.99347372802974;0.001;mammals
museum_africa:museum_north_america;0.0254752434924485;0.024100141055207;1.67030830220369;0.044;mammals
cradle_australia:cradle_north_america;0.0480572192955352;0.0122925466185652;4.6790653900847;0.001;squamates
cradle_australia:cradle_south_america;0.0923916533545585;0.00982233226680128;7.93397380711965;0.001;squamates
cradle_australia:museum_south_africa;0.0168302983235419;0.0109190469497224;2.4628602701576;0.001;squamates
cradle_australia:museum_southeast_asia;0.010530184884899;0.00961549476353134;1.74174675844936;0.029;squamates
cradle_north_america:cradle_south_america2;0.0443344340590233;0.011519935489615;4.83341280259456;0.001;squamates
cradle_north_america:museum_south_africa;0.0648875176190771;0.0122302676927021;6.10951019633215;0.001;squamates
cradle_north_america:museum_southeast_asia;0.0375270344106362;0.0111481784924889;4.4033953698519;0.001;squamates
cradle_south_america:museum_south_africa;0.1092219516781;0.0109411611390282;8.42007702424293;0.001;squamates
cradle_south_america:museum_southeast_asia;0.0818614684696595;0.00954673331571429;7.67088746999451;0.001;squamates
museum_south_africa:museum_southeast_asia;0.0273604832084409;0.010600422229109;3.63286508506;0.001;squamates
